,Date,Senti_Score,Open,High,Low,Close,Volume,EachStock,KOSPI
265,2021-01-27,0.0,40750,41300,40200,40750,709952,0.00866336633663356,-0.005699999999999999
266,2021-01-28,0.0,39900,40200,39400,39750,617444,-0.024539877300613466,-0.0171
267,2021-01-29,0.06000000089406967,40000,40100,37750,37750,908488,-0.05031446540880502,-0.030299999999999997
268,2021-02-01,0.10000000149011609,37500,38650,37300,38650,589699,0.02384105960264904,0.027000000000000003
269,2021-02-02,0.0,39050,39700,38600,39000,579862,0.009055627425614388,0.0132
270,2021-02-03,0.0,39450,39750,38900,39300,404034,0.007692307692307665,0.0106
271,2021-02-04,0.0,39350,39400,38200,38250,604000,-0.026717557251908386,-0.013500000000000002
272,2021-02-05,0.06666666766007741,38650,39200,38350,39100,400200,0.022222222222222143,0.010700000000000001
273,2021-02-08,0.12500000186264512,38700,40050,38700,39700,496150,0.01534526854219953,-0.009399999999999999
274,2021-02-09,0.3000000119209289,40050,40250,39550,39600,511352,-0.0025188916876573986,-0.0021
275,2021-02-10,0.2000000029802322,39800,40000,38850,39750,409046,0.0037878787878788955,0.0052
276,2021-02-15,0.033333333830038704,40050,40250,39700,39750,344478,0.0,0.015
277,2021-02-16,0.1000000014901161,39800,40050,39500,39750,284148,0.0,0.0052
278,2021-02-17,0.1000000014901161,39650,39750,39000,39300,373087,-0.01132075471698113,-0.009300000000000001
279,2021-02-18,0.0,38900,39300,38400,38400,402349,-0.022900763358778664,-0.015
280,2021-02-19,0.0,38500,38650,37300,38350,440635,-0.0013020833333333703,0.0068000000000000005
281,2021-02-22,0.1000000014901161,38350,38850,37800,38050,425380,-0.007822685788787531,-0.009000000000000001
282,2021-02-23,0.15000000223517415,37900,38300,37600,37950,332495,-0.0026281208935611255,-0.0031
283,2021-02-24,0.17500000447034833,38200,38250,37200,37350,418038,-0.015810276679841917,-0.0245
284,2021-02-25,0.3000000119209289,37850,38100,37550,38000,406288,0.01740294511378848,0.035
285,2021-02-26,0.2000000029802322,37100,37400,36100,36550,873289,-0.03815789473684206,-0.027999999999999997
286,2021-03-02,0.05000000074505805,37300,37300,36500,37050,467757,0.013679890560875485,0.0103
287,2021-03-03,0.0,37000,38550,36600,38450,585159,0.037786774628879805,0.0129
288,2021-03-04,0.2000000029802322,38300,38800,37700,38350,431336,-0.002600780234070177,-0.0128
289,2021-03-05,0.07500000111758708,38100,38150,37150,37700,419248,-0.016949152542372836,-0.005699999999999999
290,2021-03-08,0.1000000014901161,38100,38150,37550,37800,263107,0.0026525198938991412,-0.01
291,2021-03-09,0.08461538587625209,38150,38200,36900,37450,453488,-0.0092592592592593,-0.0067
292,2021-03-10,0.06363636458461934,37950,37950,37250,37550,250627,0.002670226969292422,-0.006
293,2021-03-11,0.033333333830038704,37700,38550,37650,38100,422499,0.01464713715046595,0.018799999999999997
